date,source,site_id,poc,daily_mean_pm10_conentration,units,daily_aqi_value,site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_desc,cbsa_code,cbsa_name,state_code,state,county_code,county,site_latitude,site_longitude
2020-01-29,AQS,60070008,3,11,ug/m3 SC,10,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-30,AQS,60070008,3,14,ug/m3 SC,13,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-31,AQS,60070008,3,20,ug/m3 SC,19,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-02-01,AQS,60070008,3,20,ug/m3 SC,19,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-02-02,AQS,60070008,3,11,ug/m3 SC,10,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-02-03,AQS,60070008,3,6,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-02-04,AQS,60070008,3,12,ug/m3 SC,11,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-02-05,AQS,60070008,3,25,ug/m3 SC,23,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-02-06,AQS,60070008,3,31,ug/m3 SC,29,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-02-07,AQS,60070008,3,28,ug/m3 SC,26,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-02-08,AQS,60070008,3,16,ug/m3 SC,15,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-02-09,AQS,60070008,3,6,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
