site_id,site_name,site_latitude,site_longitude,county,state
60832011,Goleta,34.44551,-119.8284,Santa Barbara,California
60890004,Redding - Health Department,40.55013,-122.38092,Shasta,California
60890007,Anderson - North Street,40.45291,-122.29887,Shasta,California
60890008,Shasta Lake-La Mesa,40.67707,-122.37429,Shasta,California
60970001,Cloverdale,38.804268,-123.01814,Sonoma,California
60970002,Healdsburg-Matheson,38.610905,-122.8688,Sonoma,California
60973002,Guerneville-Church and 1st,38.501114,-122.998184,Sonoma,California
60990005,Modesto-14th Street,37.642166,-120.99421,Stanislaus,California
60990006,Turlock,37.488316,-120.836006,Stanislaus,California
61010003,Yuba City,39.13877,-121.618546,Sutter,California
61030007,Red Bluff-Walnut St. District Office,40.17093,-122.25556,Tehama,California
61072002,Visalia-Church,36.33218,-119.29123,Tulare,California
61112002,Simi Valley-Cochran Street,34.276318,-118.683685,Ventura,California
61113001,El Rio-Rio Mesa School #2,34.25239,-119.14318,Ventura,California
61131003,Woodland-Gibson Road,38.66121,-121.73269,Yolo,California
61132001,West Sacramento-15th Street,38.57146,-121.52579,Yolo,California
